State;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
EU;1,5;2,1;1,7;1,7;3,4;2,5;3,9;4,3;4,5;-0,4;0,8;3;2;0,4;0,7;0,2;1,1;2,5;3,5;3,2;1,9;5,8;12,2;6,9
EA-20;1,5;1,6;1,6;1,7;3,3;2,3;3,9;4;4,5;-0,5;0,6;3;2;0,5;0,7;0,1;1,1;2,4;3,5;3,1;1,9;5,8;11,9;6,9
Belgium;:;0,6;1,7;0,4;2,5;2,7;4,9;4,4;2,6;-1,1;0;3,9;1,8;0,4;1,1;1,7;1,5;1,4;2,5;2,4;1,7;5,7;13,8;6,5
Bulgaria;:;:;:;:;3;8,3;6,1;6,6;12,3;7,6;-1,4;0,7;-0,5;1,5;0,7;1,3;0,8;2,8;3;5,5;2,3;11,4;53,1;16,2
Czechia;:;3,4;2,4;2,2;3;2,5;2,9;4,4;4,4;0,8;-0,7;-0,5;-0,5;-1,1;0,4;1,1;1;1,8;3,7;4,6;3,4;5,8;13,1;5,3
Denmark;2,6;3,2;2,2;2,3;2,1;2,3;4,7;6,4;2,9;-0,5;1,2;3,6;2,6;1,5;1,6;1,9;1,5;0,8;1,8;0,7;0,7;4;10;4,5
Germany;0,3;-0,2;0;0,2;1,3;0,8;2;3,8;3;0,9;1;2,7;2,6;2;1,7;1,7;2;2,9;4,6;4,4;2,9;7,6;16,3;8,4
Estonia;2,4;5,6;4;3,5;5,2;6,3;10,4;12,6;3,5;-8,3;-2,7;3,4;4,5;4,9;0,3;0,8;-0,5;1,3;1,8;1,9;0,4;9,4;18,2;5,2
Ireland;:;16,7;4,1;10,1;12,7;8,7;9,6;1,7;-7,7;-9,8;0,5;-2,2;1,1;0,8;0,6;0,5;0,5;1,4;4;2,2;1,2;5,4;10,7;5,1
Greece;:;2,2;1,6;2,3;2,4;2,7;2,8;2,9;4,2;-0,2;0,4;-0,1;-0,6;-1,2;-3,3;-2,8;-1,6;-0,3;0,4;-0,4;-0,1;2,4;6,8;4
Spain;4,3;2,8;1,6;2,2;4,8;4,5;6,9;5;4,7;1,1;2,5;3,8;-0,2;0,2;0,2;-1,4;-1,2;2,2;2,4;1;-0,8;8,5;12,3;2,4
France;2,4;3,5;2,6;2,9;4,9;2,4;7,1;3,9;7,8;-2,8;1,2;5,4;2,5;-0,9;0,1;-0,6;0,7;1,9;2,3;2,6;1,4;4,7;7,9;5,7
Croatia;:;-2;1,9;1,7;21,9;4,7;1,8;11,6;10,5;-8,2;-5,3;1,4;-2,5;-5,7;0,3;3,3;-1,2;-0,4;1,9;4,4;5,9;9,6;21,8;4,8
Italy;:;2,1;3,9;2,9;4,1;4,1;2,6;3,7;3,8;0,9;0,9;2,6;3,7;0,3;1,4;-2,1;0,4;1,2;1,7;0,1;0,3;1,9;7,8;2,8
Cyprus;4,4;3,6;3,9;5,4;7,2;4,5;5,1;5;7,9;0,9;3,1;3,5;0,9;-4;-1,8;-0,8;-0,8;0,1;1,2;2,2;0,2;7,6;12;2,5
Latvia;:;-2,2;1,3;6,3;8,8;11,9;36,5;22,5;8,7;-7,8;-7,4;2,5;3,2;4;0,7;3,4;5,7;2,4;4,5;4,8;7,3;6,8;13,3;4,7
Lithuania;0,6;-1;0,2;1,2;7,1;8,3;10,7;16,1;9,6;-14,6;-4,8;3,9;3;4,6;3,2;2,2;2,1;4,2;3,5;4,9;2;6,6;18;7,2
Luxembourg;:;4,2;2,6;2,2;2,6;3;2,9;2,8;3,2;1,5;0,8;2,5;2,9;2;1,8;1,1;0,9;1,9;1,8;3,1;3;6,5;14,1;10,4
Hungary;:;11,2;6;3,9;5,9;3,5;5,9;5,3;6,1;3,8;1,7;2,4;2,3;1,9;2,4;3,1;3,4;7;10,2;9,6;7,1;12,2;24,1;15,2
Malta;:;6,4;4,9;2,3;0,5;1,4;1,3;10,4;2,4;1,6;-2,4;1,4;2,3;1,5;2,5;1,1;2,3;1,6;1,2;1;0,3;12,5;19,1;-0,3
Netherlands;:;4,2;3;1,3;0,7;1,4;0;4,7;4,8;-0,7;-4,1;-1,2;-4,7;-3,6;-4,1;-0,7;0;6,2;8,8;7,1;4,3;4;6,8;14,9
Austria;1,5;1,8;1,1;1,6;2,8;2,3;3;4,1;4,7;2,3;1,7;2,9;2,6;2,4;2,3;1,5;1,9;2,7;3,7;3,3;3,1;8;15;7,5
Poland;:;3,2;-0,1;-0,8;2,7;3;1,7;6,9;7;0,2;-0,1;1,1;0,3;-1,6;-0,9;-0,7;-0,1;0,8;3,1;4,1;2,9;4,5;13,3;10
Portugal;:;0,2;2,8;1,2;4,1;2;3,3;3,4;6,3;-2,2;1,6;1,4;0,6;1,3;0,7;1,2;1,2;1,9;2,3;2,3;2,1;6,5;12,2;3,8
Romania;:;39,6;22,2;23,2;25;11,2;10,8;10;16,4;1,6;1,9;9,1;6,5;-4,3;-0,6;-0,6;0,8;7,9;12,4;9,6;1,4;12,6;19;8,1
Slovenia;8,3;11,1;3,3;5,9;7,7;4,6;6,1;6,9;6,6;-3,1;5,6;4,7;-1,2;-1,1;-0,5;0,6;-1,1;4,7;2,7;3,1;1,2;10,7;14,4;7,3
Slovakia;9,5;6,4;4,9;4,3;7;4,8;4;4,1;9;1,4;0,1;0,2;-0,4;0,2;1,2;1,6;1,1;2,8;3,6;4,4;3;3,9;21,3;11,4
Finland;3,1;2,4;0,7;1,9;2,4;3,4;3,8;5,9;4;-1,1;1,1;3,3;2,4;0,9;1;0,6;0,5;0,2;2,3;1,1;-0,3;5,5;8,2;3
Sweden;4;4,5;3,3;3,4;4;3,8;5;6,1;4,9;1,9;2,6;3;2,6;1,6;0,9;2,3;2,1;2,7;4;2,7;-0,1;6,3;12,3;4,2
Norway;:;4,7;3,3;3,2;2,9;3,5;3,8;7,3;5,7;2,4;3,1;3,6;3,1;3;3,3;2,5;2,9;2,4;3,2;2,6;2,4;8,7;8,8;4,4
Switzerland;3,8;3,2;-0,4;-1,7;0,6;2,3;2,7;3,8;3,9;0;0;2;0,2;0,2;0,3;-0,5;-0,7;0;1;0,7;0,5;2,5;8,4;3,7
Bosnia and Herzegovina;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;0,8;1;1;1,2;5,8;17,6;4,8
Montenegro;:;6,2;0,3;6,6;-12,6;20,6;36,2;25,1;14;-14,9;-4,3;6,6;-14,7;2,9;-3,5;-6,8;-8,2;6,6;3,6;7,1;-10,8;17,2;32,4;18,7
North Macedonia;:;:;:;:;:;:;9,1;2,4;4,7;5,9;-2,3;5,2;1,7;1,9;-0,4;-1,6;-2,4;5;6;2,6;1,1;13,1;23,7;9,4
Albania;:;:;:;2,6;3;1,4;1,1;2,5;1,2;0;0,3;0,5;0,6;0,9;0,3;0,2;0,1;0,6;0,6;0,2;0,2;1,9;6,4;4,5
Serbia;:;80,6;25,8;14,7;12,8;14,2;17,1;9,9;10,8;4,9;4,2;5,3;3,4;2,3;3,2;3,1;-1,8;3,4;5;6,1;1,5;8,8;15,6;8,4
Türkiye;:;55,1;36,8;21,2;14,3;9;15,3;8,8;13,7;-4;5,6;12,3;5,5;4,8;10,6;6,1;12,7;14,5;25,1;18;12,9;40,6;99,7;64
